N,x_pVal,y_pVal,z_pVal
10.0,1.0,1.0,1.0
25.0,1.0,1.0,1.0
50.0,1.0,1.0,1.0
75.0,1.0,1.0,1.0
100.0,0.999999,1.0,1.0
250.0,0.997047,1.0,0.999975
500.0,0.999967,0.999967,0.999998
750.0,1.0,1.0,1.0
1000.0,1.0,1.0,1.0
2500.0,1.0,1.0,1.0
5000.0,1.0,1.0,1.0
7500.0,0.959841,1.0,0.99004
10000.0,0.843589,0.273217,0.941199
12500.0,0.0,0.0,0.005071
25000.0,0.0,0.0,0.705218
37500.0,0.002206,0.018389,0.006212
50000.0,0.0,0.0,0.000955
62500.0,0.0,0.0,0.040724
75000.0,0.0,0.0,0.0
87500.0,0.0,0.0,2e-06
100000.0,0.0,0.0,0.0
